noc_code,type_english,name_english,type_french,name_french
22101,Inclusion(s),laboratory technician - metallurgy,Inclusion(s),technicien/technicienne de laboratoire - métallurgie
22112,Inclusion(s),range manager,Inclusion(s),gestionnaire de terrains de parcours
22232,Inclusion(s),safety supervisor - occupational health and safety,Inclusion(s),superviseur/superviseure sécurité - santé et sécurité au travail
31102,Inclusion(s),community preventive medicine physician,Inclusion(s),médecin de médecine préventive communautaire
31102,Inclusion(s),medical missionary,Inclusion(s),médecin missionnaire
31202,Inclusion(s),physical therapy clinical coordinator,,
31202,Inclusion(s),physiotherapy clinical coordinator,Inclusion(s),coordonnateur/coordonnatrice clinique en physiothérapie
31301,Inclusion(s),infection control officer,Inclusion(s),agent/agente de prévention des infections
32102,Inclusion(s),emergency medical assistant,Inclusion(s),assistant/assistante en soins médicaux d'urgence
32102,Inclusion(s),emergency medical attendant (EMA),Inclusion(s),technicien/technicienne en soins ambulanciers
32103,Inclusion(s),anesthesia technologist,Inclusion(s),technologue en anesthésie
32103,Inclusion(s),polysomnographic technologist,Inclusion(s),technologue en polysomnographie
32109,Inclusion(s),communication disorders instructor,Inclusion(s),instructeur/instructrice en troubles de communication
32121,Inclusion(s),diagnostic imaging technologist,Inclusion(s),technologue en imagerie diagnostique
32121,Inclusion(s),magnetic resonance imaging (MRI) technologist,Inclusion(s),technologue en imagerie par résonance magnétique (IRM)
32123,Inclusion(s),cardiac catheterization technologist,Inclusion(s),technologue vasculaire
32123,Inclusion(s),cardiovascular technician,Inclusion(s),technicien cardiovasculaire/technicienne cardiovasculaire
32123,Inclusion(s),cardiovascular technologist,Inclusion(s),technologue cardiovasculaire
33100,Inclusion(s),dental aide,Inclusion(s),aide dentaire
33101,Inclusion(s),blood bank technician,Inclusion(s),technicien/technicienne de banque de sang
33101,Inclusion(s),renal technician,Inclusion(s),technicien/technicienne en néphrologie
33102,Inclusion(s),emergency medical care attendant (non-paramedical),Inclusion(s),assistant technicien/assistante technicienne en soins médicaux d'urgence (non paramédical)
33102,Inclusion(s),emergency medical responder (non-paramedical),Inclusion(s),auxiliaire médical/auxiliaire médicale en soins d'urgence
33102,Inclusion(s),first aid attendant,Inclusion(s),préposé/préposée aux premiers soins - urgence
33102,Inclusion(s),medical attendant - patient transfer,Inclusion(s),préposé médical/préposée médicale - transfert des patients
40040,Inclusion(s),deputy chief coroner,Inclusion(s),coroner en chef adjoint
40040,Inclusion(s),deputy chief medical examiner,Inclusion(s),médecin légiste en chef adjoint
41101,Inclusion(s),judicial assistant - Supreme Court,Inclusion(s),adjoint judiciaire/adjointe judiciaire - Cour suprême
41200,Inclusion(s),postdoctoral fellow,Inclusion(s),boursier/boursière de recherches postdoctorales
41200,Inclusion(s),teacher - teacher's college,Inclusion(s),professeur/professeure - école normale
41201,Inclusion(s),tutor - post-secondary teaching assistant,Inclusion(s),répétiteur/répétitrice - assistance à l'enseignement postsecondaire
41300,Inclusion(s),children's aid investigator,Inclusion(s),enquêteur/enquêteuse de l'aide à l'enfance
41301,Inclusion(s),behavioural consultant,Inclusion(s),consultant/consultante en matière de comportement
41301,Inclusion(s),disability consultant,Inclusion(s),consultant/consultante en matière d'incapacité
41301,Inclusion(s),play therapist,Inclusion(s),psychoéducateur/psychoéducatrice
41301,Inclusion(s),psychoeducational consultant,Inclusion(s),consultant/consultante en psychopédagogie
41301,Inclusion(s),psychoeducator,Inclusion(s),expert-conseil/experte-conseil en psychopédagogie
41310,Inclusion(s),coroner,Inclusion(s),coroner
41310,Inclusion(s),medical examiner,Inclusion(s),médecin légiste
41320,Inclusion(s),student employment services coordinator,Inclusion(s),coordonnateur/coordonnatrice de services d'emploi pour étudiants
